Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CT_RA1_GFP-IP_rep1_R1	22.309521999386888	46.0	151.0	8.333333333333332	22128724.0
CT_RA1_GFP-IP_rep1_R2	21.76873093882419	46.0	151.0	8.333333333333332	22128724.0
CT_RA1_GFP-IP_rep2_R1	19.25583769415711	46.0	151.0	8.333333333333332	19016065.0
CT_RA1_GFP-IP_rep2_R2	18.668979629839	46.0	151.0	8.333333333333332	19016065.0
CT_RA1_Input_rep1_R1	29.9977371233402	61.0	151.0	8.333333333333332	21298692.0
CT_RA1_Input_rep1_R2	29.14175084686717	61.0	151.0	8.333333333333332	21298692.0
CT_RA1_Input_rep2_R1	33.39035163093888	64.0	151.0	8.333333333333332	17606299.0
CT_RA1_Input_rep2_R2	32.95142540936608	63.0	151.0	8.333333333333332	17606299.0
CT_WUS1_Input_rep1_R1	18.252112660175968	53.0	151.0	16.666666666666664	12323788.0
CT_WUS1_Input_rep1_R2	17.801421349928034	53.0	151.0	16.666666666666664	12323788.0
CT_WUS1_Input_rep2_R1	19.723513189579776	54.0	151.0	8.333333333333332	14562017.0
CT_WUS1_Input_rep2_R2	19.454243226949913	54.0	151.0	8.333333333333332	14562017.0
CT_WUS1_RFP-IP_rep1_R1	14.586858149851665	46.0	151.0	8.333333333333332	12513300.0
CT_WUS1_RFP-IP_rep1_R2	13.914491983729775	46.0	151.0	8.333333333333332	12513300.0
CT_WUS1_RFP-IP_rep2_R1	14.224672410708678	46.0	151.0	8.333333333333332	11182571.0
CT_WUS1_RFP-IP_rep2_R2	13.901142593655663	46.0	151.0	8.333333333333332	11182571.0
CT_ZFHD_Input_rep1_R1	18.941551044175014	50.0	151.0	16.666666666666664	14061382.0
CT_ZFHD_Input_rep1_R2	18.542271232103673	50.0	151.0	16.666666666666664	14061382.0
CT_ZFHD_Input_rep2_R1	19.100927937908978	46.0	151.0	8.333333333333332	21647639.0
CT_ZFHD_Input_rep2_R2	18.461390622397005	46.0	151.0	8.333333333333332	21647639.0
CT_ZFHD_RFP-IP_rep1_R1	19.127313542051013	46.0	151.0	8.333333333333332	19015211.0
CT_ZFHD_RFP-IP_rep1_R2	18.640519272682255	46.0	151.0	8.333333333333332	19015211.0
CT_ZFHD_RFP-IP_rep2_R1	25.541927527327076	46.0	151.0	8.333333333333332	26644998.0
CT_ZFHD_RFP-IP_rep2_R2	25.03236568868597	46.0	151.0	8.333333333333332	26644998.0
RA1_GFP-IP_rep1_R1	18.146586160738693	46.0	151.0	8.333333333333332	21362015.0
RA1_GFP-IP_rep1_R2	17.906968217657692	46.0	151.0	8.333333333333332	21362015.0
RA1_GFP-IP_rep2_R1	18.346169829145282	46.0	151.0	8.333333333333332	17025138.0
RA1_GFP-IP_rep2_R2	17.444568747433962	46.0	151.0	8.333333333333332	17025138.0
RA1_Input_rep1_R1	34.84558296813091	64.0	151.0	8.333333333333332	17164706.0
RA1_Input_rep1_R2	34.31881787510305	64.0	151.0	8.333333333333332	17164706.0
RA1_Input_rep2_R1	41.17567619582486	64.0	151.0	8.333333333333332	18094294.0
RA1_Input_rep2_R2	39.14820411132551	65.0	151.0	8.333333333333332	18094294.0
WUS1_Input_rep1_R1	16.606659506722067	54.0	151.0	8.333333333333332	8935116.0
WUS1_Input_rep1_R2	16.066239189966865	54.0	151.0	0.0	8935116.0
WUS1_Input_rep2_R1	17.676685818456548	53.0	151.0	16.666666666666664	12328525.0
WUS1_Input_rep2_R2	7.8354370633576025	57.0	151.0	0.0	12328525.0
WUS1_RFP-IP_rep1_R1	16.843612740158548	46.0	151.0	0.0	15032895.0
WUS1_RFP-IP_rep1_R2	16.245175868934	46.0	151.0	0.0	15032895.0
WUS1_RFP-IP_rep2_R1	16.509307917787936	46.0	151.0	8.333333333333332	16033141.0
WUS1_RFP-IP_rep2_R2	16.11287692203787	46.0	151.0	8.333333333333332	16033141.0
ZFHD_Input_rep1_R1	19.868413447851268	52.0	151.0	16.666666666666664	10649841.0
ZFHD_Input_rep1_R2	19.399061720894196	52.0	151.0	16.666666666666664	10649841.0
ZFHD_Input_rep2_R1	29.520515969125753	57.0	151.0	8.333333333333332	21990559.0
ZFHD_Input_rep2_R2	28.446950208791606	57.0	151.0	8.333333333333332	21990559.0
ZFHD_RFP-IP_rep1_R1	18.10580128755136	45.0	151.0	8.333333333333332	10937336.0
ZFHD_RFP-IP_rep1_R2	17.417528617854472	45.0	151.0	8.333333333333332	10937336.0
ZFHD_RFP-IP_rep2_R1	18.832619741238844	45.0	151.0	8.333333333333332	16960525.0
ZFHD_RFP-IP_rep2_R2	16.91298293412251	46.0	151.0	8.333333333333332	16960525.0
ss.CT_RA1_GFP-IP_rep1_R1	21.695182888569704	46.0	149.50394780258017	8.333333333333332	21826826.0
ss.CT_RA1_GFP-IP_rep1_R2	21.44138902410849	46.0	149.06545111048212	8.333333333333332	21826826.0
ss.CT_RA1_GFP-IP_rep2_R1	18.713481929321986	46.0	149.46087303940288	8.333333333333332	18756977.0
ss.CT_RA1_GFP-IP_rep2_R2	18.38833518910168	46.0	149.06963664773915	0.0	18756977.0
ss.CT_RA1_Input_rep1_R1	29.606763381238636	61.0	148.80062345422223	8.333333333333332	20891991.0
ss.CT_RA1_Input_rep1_R2	29.058747306897345	61.0	148.4486381886724	8.333333333333332	20891991.0
ss.CT_RA1_Input_rep2_R1	32.98474709553709	63.0	148.50396758851792	8.333333333333332	17281530.0
ss.CT_RA1_Input_rep2_R2	32.97761005686283	63.0	148.5822798097159	8.333333333333332	17281530.0
ss.CT_WUS1_Input_rep1_R1	17.941737508132775	53.0	149.26597563140308	8.333333333333332	12146124.0
ss.CT_WUS1_Input_rep1_R2	17.64454188517263	53.0	148.94353507341108	8.333333333333332	12146124.0
ss.CT_WUS1_Input_rep2_R1	19.490113524488606	54.0	149.2140958602231	0.0	14340338.0
ss.CT_WUS1_Input_rep2_R2	19.345384099940034	53.0	148.92218042559387	0.0	14340338.0
ss.CT_WUS1_RFP-IP_rep1_R1	14.19646978609569	46.0	149.593143194339	0.0	12333644.0
ss.CT_WUS1_RFP-IP_rep1_R2	13.749842166520295	46.0	148.94114780676335	0.0	12333644.0
ss.CT_WUS1_RFP-IP_rep2_R1	13.854280905347181	46.0	149.5340915204816	0.0	11021817.0
ss.CT_WUS1_RFP-IP_rep2_R2	13.686920852150678	46.0	149.0624447856465	0.0	11021817.0
ss.CT_ZFHD_Input_rep1_R1	18.59011281757857	50.0	149.317974369325	16.666666666666664	13867602.0
ss.CT_ZFHD_Input_rep1_R2	18.35603494671608	50.0	149.04918399013758	16.666666666666664	13867602.0
ss.CT_ZFHD_Input_rep2_R1	18.64995418992477	46.0	149.51204022814656	0.0	21339089.0
ss.CT_ZFHD_Input_rep2_R2	18.2176255551297	46.0	148.97719893290665	0.0	21339089.0
ss.CT_ZFHD_RFP-IP_rep1_R1	18.666040427738835	46.0	149.50111012999895	0.0	18733842.0
ss.CT_ZFHD_RFP-IP_rep1_R2	18.44743558728726	46.0	149.16295189208918	0.0	18733842.0
ss.CT_ZFHD_RFP-IP_rep2_R1	24.901225237873476	46.0	149.46149125878102	0.0	26197948.0
ss.CT_ZFHD_RFP-IP_rep2_R2	24.736700966151233	46.0	149.08635672534353	0.0	26197948.0
ss.RA1_GFP-IP_rep1_R1	17.734199085288523	46.0	149.3987805500126	8.333333333333332	21093772.0
ss.RA1_GFP-IP_rep1_R2	17.684486948378023	46.0	149.07158411497005	8.333333333333332	21093772.0
ss.RA1_GFP-IP_rep2_R1	17.677468658144917	46.0	149.2650774059501	8.333333333333332	16692709.0
ss.RA1_GFP-IP_rep2_R2	17.068162490345628	46.0	148.19780468227177	8.333333333333332	16692709.0
ss.RA1_Input_rep1_R1	34.3362026734586	64.0	148.21818958188445	8.333333333333332	16810161.0
ss.RA1_Input_rep1_R2	34.316215150908874	64.0	148.273100061326	8.333333333333332	16810161.0
ss.RA1_Input_rep2_R1	40.48846511416803	64.0	148.1993810179012	8.333333333333332	17649945.0
ss.RA1_Input_rep2_R2	38.87261287831243	64.0	147.5120958167292	8.333333333333332	17649945.0
ss.WUS1_Input_rep1_R1	16.32140659439534	54.0	149.23742104386645	8.333333333333332	8796815.0
ss.WUS1_Input_rep1_R2	15.930495209378932	53.0	148.8147632978527	8.333333333333332	8796815.0
ss.WUS1_Input_rep2_R1	15.403963888510248	53.0	149.38683113652385	8.333333333333332	8721436.0
ss.WUS1_Input_rep2_R2	9.147541173420194	55.0	130.54204559891284	0.0	8721436.0
ss.WUS1_RFP-IP_rep1_R1	16.434069057273973	46.0	149.48934095871326	0.0	14830649.0
ss.WUS1_RFP-IP_rep1_R2	16.039704686992124	46.0	149.0923772789714	0.0	14830649.0
ss.WUS1_RFP-IP_rep2_R1	16.11599613715947	46.0	149.56838535863096	0.0	15809232.0
ss.WUS1_RFP-IP_rep2_R2	15.891311613305206	46.0	149.18645485119075	0.0	15809232.0
ss.ZFHD_Input_rep1_R1	19.411924653170175	52.0	149.16426671796154	8.333333333333332	10449390.0
ss.ZFHD_Input_rep1_R2	19.244931296454126	52.0	148.85150080531017	8.333333333333332	10449390.0
ss.ZFHD_Input_rep2_R1	29.002402486025304	56.0	149.1107805908357	0.0	21561629.0
ss.ZFHD_Input_rep2_R2	28.22195214724556	56.0	148.72127620784124	0.0	21561629.0
ss.ZFHD_RFP-IP_rep1_R1	17.50590351808107	45.0	149.4868196803501	0.0	10722919.0
ss.ZFHD_RFP-IP_rep1_R2	17.118320822132574	45.0	148.83187236609731	0.0	10722919.0
ss.ZFHD_RFP-IP_rep2_R1	18.279869800797115	45.0	149.52645994750645	0.0	16444307.0
ss.ZFHD_RFP-IP_rep2_R2	16.537537183059897	46.0	147.20589952498455	0.0	16444307.0
