PeakID (cmd=annotatePeaks.pl /sonas-hs/ware/hpc_norepl/data/foli/maizeCode/RA1_deduct_final.bed zm_v4 -ann /sonas-hs/ware/hpc/home/foli/software/homer/data/genomes/zm_v4/zm_v4.basic.annotation)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-1-2	1	197009099	197009296	+	1327.7	NA	NA	NA	39004	transcript:Zm00001d031636_T001								
1-1	1	197009083	197009282	+	1102.6	NA	NA	NA	39019	transcript:Zm00001d031636_T001								
1-2-2	1	197008358	197008555	+	846.1	NA	NA	NA	39745	transcript:Zm00001d031636_T001								
1-3	1	18810	19007	+	836.1	NA	NA	NA	-25381	transcript:Zm00001d027230_T001								
1-2	1	197008346	197008545	+	786.3	NA	NA	NA	39756	transcript:Zm00001d031636_T001								
1-6	1	197012494	197012691	+	765.8	NA	NA	NA	35609	transcript:Zm00001d031636_T001								
1-4	1	18816	19015	+	761.7	NA	NA	NA	-25374	transcript:Zm00001d027230_T001								
1-9-2	1	24429	24626	+	721.8	NA	NA	NA	-19762	transcript:Zm00001d027230_T001								
1-8-2	1	23881	24078	+	718.9	NA	NA	NA	-20310	transcript:Zm00001d027230_T001								
1-8	1	197012492	197012691	+	695.3	NA	NA	NA	35610	transcript:Zm00001d031636_T001								
1-7	1	23880	24079	+	689.8	NA	NA	NA	-20310	transcript:Zm00001d027230_T001								
1-10-2	1	197010515	197010712	+	643.9	NA	NA	NA	37588	transcript:Zm00001d031636_T001								
1-11-2	1	18245	18442	+	627.5	NA	NA	NA	-25946	transcript:Zm00001d027230_T001								
1-10	1	197010524	197010723	+	606.3	NA	NA	NA	37578	transcript:Zm00001d031636_T001								
1-9	1	18244	18443	+	600.8	NA	NA	NA	-25946	transcript:Zm00001d027230_T001								
1-11	1	24431	24630	+	599.2	NA	NA	NA	-19759	transcript:Zm00001d027230_T001								
1-16	1	197011160	197011357	+	532.6	NA	NA	NA	36943	transcript:Zm00001d031636_T001								
1-18	1	197011153	197011352	+	460.4	NA	NA	NA	36949	transcript:Zm00001d031636_T001								
1-19-2	1	15847	16044	+	438.3	NA	NA	NA	-28344	transcript:Zm00001d027230_T001								
1-19	1	15853	16052	+	385.6	NA	NA	NA	-28337	transcript:Zm00001d027230_T001								
8-1-2	8	160908701	160908898	+	368.0	NA	NA	NA	22809	transcript:Zm00001d011758_T001								
8-1	8	160908704	160908903	+	351.4	NA	NA	NA	22813	transcript:Zm00001d011758_T001								
3-1-2	3	84266003	84266200	+	273.0	NA	NA	NA	-259576	transcript:Zm00001d000561_T001								
3-1	3	84266010	84266209	+	243.2	NA	NA	NA	-259584	transcript:Zm00001d000561_T001								
8-2	8	177444986	177445183	+	209.8	NA	NA	NA	11453	transcript:Zm00001d012628_T001								
1-23-2	1	125703476	125703673	+	206.2	NA	NA	NA	23264	transcript:Zm00001d030359_T001								
1-23	1	125703419	125703618	+	198.9	NA	NA	NA	23208	transcript:Zm00001d030359_T001								
8-3	8	177444987	177445186	+	187.2	NA	NA	NA	11451	transcript:Zm00001d012628_T001								
7-8	7	46257148	46257345	+	185.7	NA	NA	NA	-1298	transcript:Zm00001d019603_T001								
7-10	7	155428118	155428315	+	178.7	NA	NA	NA	5555	transcript:Zm00001d001261_T001								
1-24-2	1	7257	7454	+	176.9	NA	NA	NA	-36934	transcript:Zm00001d027230_T001								
7-5	7	155440237	155440436	+	176.3	NA	NA	NA	6892	transcript:Zm00001d021542_T001								
8-5	8	160927796	160927995	+	169.2	NA	NA	NA	-9147	transcript:Zm00001d011759_T001								
7-13	7	155440249	155440446	+	168.2	NA	NA	NA	6881	transcript:Zm00001d021542_T001								
7-14	7	46265795	46265992	+	167.6	NA	NA	NA	2571	transcript:Zm00001d001139_T001								
7-7	7	155428133	155428332	+	167.5	NA	NA	NA	5571	transcript:Zm00001d001261_T001								
8-5-2	8	160927793	160927990	+	164.1	NA	NA	NA	-9151	transcript:Zm00001d011759_T001								
5-2-2	5	215768871	215769068	+	162.3	NA	NA	NA	-1704	transcript:Zm00001d018163_T001								
1-24	1	7260	7459	+	160.4	NA	NA	NA	-36930	transcript:Zm00001d027230_T001								
5-4	5	215764521	215764718	+	158.2	NA	promoter-TSS (transcript:Zm00001d018162_T001)	NA	-382	transcript:Zm00001d018162_T001								
2-11-2	2	176906979	176907176	+	155.9	NA	NA	NA	-1986	transcript:Zm00001d005510_T001								
1-25	1	1980	2179	+	155.4	NA	NA	NA	-42210	transcript:Zm00001d027230_T001								
1-26	1	8202347	8202544	+	154.7	NA	NA	NA	-1286	transcript:Zm00001d027559_T001								
5-7	5	215847379	215847576	+	151.2	NA	TTS (transcript:Zm00001d018168_T001)	NA	214	transcript:Zm00001d018168_T001								
10-5	10	100531795	100531992	+	151.2	NA	NA	NA	1778	transcript:Zm00001d025029_T001								
4-5	4	115370395	115370592	+	138.9	NA	promoter-TSS (transcript:Zm00001d026874_T001)	NA	83	transcript:Zm00001d026874_T001								
1-37-2	1	1988	2185	+	132.4	NA	NA	NA	-42203	transcript:Zm00001d027230_T001								
2-25	2	206606432	206606629	+	131.8	NA	intron (transcript:Zm00001d006402_T001, intron 5 of 5)	NA	-1339	transcript:Zm00001d006403_T001								
9-6	9	34854213	34854410	+	126.6	NA	NA	NA	2329	transcript:Zm00001d045714_T001								
1-30	1	125702296	125702495	+	124.1	NA	NA	NA	22085	transcript:Zm00001d030359_T001								
7-15	7	46265773	46265972	+	120.8	NA	NA	NA	2550	transcript:Zm00001d001139_T001								
2-11	2	176907118	176907317	+	120.3	NA	NA	NA	-2126	transcript:Zm00001d005510_T001								
7-16	7	46257150	46257349	+	119.9	NA	NA	NA	-1301	transcript:Zm00001d019603_T001								
2-35	2	176913119	176913316	+	117.8	NA	NA	NA	2638	transcript:Zm00001d005512_T001								
7-18	7	155433569	155433768	+	117.8	NA	NA	NA	11007	transcript:Zm00001d001261_T001								
8-11	8	160909338	160909537	+	117.8	NA	NA	NA	23447	transcript:Zm00001d011758_T001								
5-2	5	215769072	215769271	+	117.4	NA	NA	NA	-1906	transcript:Zm00001d018163_T001								
1-44	1	125702507	125702704	+	117.2	NA	NA	NA	22295	transcript:Zm00001d030359_T001								
1-47	1	464109	464306	+	113.1	NA	NA	NA	37443	transcript:Zm00001d027254_T001								
8-15	8	160909328	160909525	+	112.5	NA	NA	NA	23436	transcript:Zm00001d011758_T001								
1-33	1	464135	464334	+	107.8	NA	NA	NA	37470	transcript:Zm00001d027254_T001								
5-28	5	215761800	215761997	+	106.6	NA	TTS (transcript:Zm00001d018162_T001)	NA	-2286	transcript:Zm00001d001741_T001								
4-3	4	115370386	115370585	+	106.1	NA	promoter-TSS (transcript:Zm00001d026874_T001)	NA	75	transcript:Zm00001d026874_T001								
7-31	7	155433566	155433763	+	105.5	NA	NA	NA	11003	transcript:Zm00001d001261_T001								
3-15	3	74905760	74905957	+	105.5	NA	promoter-TSS (transcript:Zm00001d040880_T001)	NA	-62	transcript:Zm00001d040879_T001								
5-30-2	5	215845876	215846073	+	104.9	NA	NA	NA	1717	transcript:Zm00001d018168_T001								
5-6	5	215764504	215764703	+	102.8	NA	promoter-TSS (transcript:Zm00001d018162_T001)	NA	-366	transcript:Zm00001d018162_T001								
1-37	1	8202343	8202542	+	101.5	NA	NA	NA	-1289	transcript:Zm00001d027559_T001								
5-11	5	215847272	215847471	+	98.6	NA	TTS (transcript:Zm00001d018168_T001)	NA	320	transcript:Zm00001d018168_T001								
10-7	10	100531534	100531733	+	96.9	NA	NA	NA	2038	transcript:Zm00001d025029_T001								
8-16	8	160915151	160915350	+	95.7	NA	NA	NA	-21792	transcript:Zm00001d011759_T001								
7-37	7	179724851	179725048	+	95.5	NA	NA	NA	-1358	transcript:Zm00001d022539_T001								
2-54	2	98051744	98051941	+	92.6	NA	NA	NA	-8343	transcript:Zm00001d004269_T001								
9-7	9	34854273	34854472	+	91.5	NA	NA	NA	2268	transcript:Zm00001d045714_T001								
9-18	9	77041805	77042002	+	89.1	NA	NA	NA	2486	transcript:Zm00001d046258_T001								
5-19	5	215845913	215846112	+	88.6	NA	NA	NA	1679	transcript:Zm00001d018168_T001								
2-32	2	176912848	176913047	+	87.7	NA	NA	NA	2908	transcript:Zm00001d005512_T001								
5-17	5	9522	9721	+	86.9	NA	NA	NA	25040	transcript:Zm00001d012794_T010								
2-33	2	206606378	206606577	+	86.9	NA	intron (transcript:Zm00001d006402_T001, intron 5 of 5)	NA	-1392	transcript:Zm00001d006403_T001								
9-11	9	77041696	77041895	+	84.4	NA	NA	NA	2378	transcript:Zm00001d046258_T001								
9-19	9	6529605	6529802	+	83.2	NA	NA	NA	3107	transcript:Zm00001d044885_T001								
8-28	8	160911769	160911966	+	81.4	NA	NA	NA	-25175	transcript:Zm00001d011759_T001								
7-32	7	179724774	179724973	+	81.1	NA	NA	NA	-1434	transcript:Zm00001d022539_T001								
4-21	4	115209198	115209395	+	80.9	NA	NA	NA	2455	transcript:Zm00001d026873_T001								
8-30	8	160915148	160915345	+	80.9	NA	NA	NA	-21796	transcript:Zm00001d011759_T001								
4-21-2	4	115209198	115209395	+	80.9	NA	NA	NA	2455	transcript:Zm00001d026873_T001								
8-23	8	160911806	160912005	+	80.2	NA	NA	NA	-25137	transcript:Zm00001d011759_T001								
6-38	6	119415982	119416179	+	79.7	NA	NA	NA	-37996	transcript:Zm00001d037285_T001								
5-46	5	9529	9726	+	79.7	NA	NA	NA	25034	transcript:Zm00001d012794_T010								
4-26	4	156990476	156990673	+	76.8	NA	NA	NA	-4167	transcript:Zm00001d051393_T002								
8-25	8	81964915	81965114	+	76.5	NA	NA	NA	-16660	transcript:Zm00001d009798_T002								
10-21	10	133765186	133765383	+	75.6	NA	intron (transcript:Zm00001d025919_T002, intron 9 of 9)	NA	1858	transcript:Zm00001d025919_T011								
1-76	1	235244438	235244635	+	74.4	NA	NA	NA	72825	transcript:Zm00001d032703_T002								
8-37	8	81964925	81965122	+	73.8	NA	NA	NA	-16651	transcript:Zm00001d009798_T002								
4-34-2	4	115208652	115208849	+	72.1	NA	NA	NA	1909	transcript:Zm00001d026873_T001								
2-74	2	98050957	98051154	+	72.1	NA	NA	NA	-7556	transcript:Zm00001d004269_T001								
3-16	3	74906034	74906233	+	71.9	NA	promoter-TSS (transcript:Zm00001d040880_T001)	NA	-337	transcript:Zm00001d040879_T001								
2-73	2	14974989	14975186	+	71.5	NA	NA	NA	-7759	transcript:Zm00001d002537_T002								
1-84-2	1	373997	374194	+	70.9	NA	TTS (transcript:Zm00001d027252_T001)	NA	11	transcript:Zm00001d027252_T001								
5-58	5	194278816	194279013	+	70.3	NA	NA	NA	25629	transcript:Zm00001d017390_T001								
5-30	5	215761816	215762015	+	69.8	NA	TTS (transcript:Zm00001d018162_T001)	NA	-2269	transcript:Zm00001d001741_T001								
1-85-2	1	377162	377359	+	69.7	NA	NA	NA	-3154	transcript:Zm00001d027252_T001								
9-38	9	61984675	61984872	+	68.0	NA	NA	NA	12610	transcript:Zm00001d027106_T001								
3-36	3	74901468	74901665	+	68.0	NA	NA	NA	4230	transcript:Zm00001d040879_T001								
9-34-2	9	61946453	61946650	+	67.4	NA	NA	NA	2166	transcript:Zm00001d046080_T001								
6-54	6	119415487	119415684	+	67.4	NA	NA	NA	-37501	transcript:Zm00001d037285_T001								
9-37	9	46970285	46970482	+	66.8	NA	NA	NA	15278	transcript:Zm00001d045906_T001								
1-93	1	89245318	89245515	+	66.8	NA	NA	NA	-10011	transcript:Zm00001d029831_T001								
2-92	2	236160940	236161137	+	66.2	NA	NA	NA	-37504	transcript:Zm00001d001052_T001								
2-97	2	178915575	178915772	+	63.9	NA	NA	NA	8239	transcript:Zm00001d005573_T030								
9-50	9	65375781	65375978	+	63.3	NA	NA	NA	43235	transcript:Zm00001d046132_T001								
9-56	9	61951657	61951854	+	62.7	NA	NA	NA	-1048	transcript:Zm00001d046081_T001								
7-64	7	179705024	179705221	+	62.1	NA	TTS (transcript:Zm00001d022538_T001)	NA	-21185	transcript:Zm00001d022539_T001								
2-104	2	236168565	236168762	+	62.1	NA	NA	NA	33852	transcript:Zm00001d007606_T001								
4-23	4	209783182	209783381	+	61.8	NA	NA	NA	-16743	transcript:Zm00001d053024_T001								
2-103	2	178918359	178918556	+	61.5	NA	NA	NA	5455	transcript:Zm00001d005573_T030								
2-107	2	79887529	79887726	+	60.9	NA	NA	NA	-32703	transcript:Zm00001d004057_T001								
6-63	6	46218731	46218928	+	60.9	NA	NA	NA	-52297	transcript:Zm00001d035762_T001								
2-109-2	2	152228547	152228744	+	60.3	NA	TTS (transcript:Zm00001d004984_T001)	NA	-129	transcript:Zm00001d000947_T001								
9-65	9	61990948	61991145	+	59.8	NA	NA	NA	18883	transcript:Zm00001d027106_T001								
4-57	4	157257600	157257797	+	59.8	NA	NA	NA	-43330	transcript:Zm00001d051404_T003								
2-62	2	178918498	178918697	+	59.3	NA	TTS (transcript:Zm00001d005573_T001)	NA	5315	transcript:Zm00001d005573_T030								
9-51	9	134172037	134172234	+	59.2	NA	NA	NA	28742	transcript:Zm00001d047536_T058								
9-66	9	61945050	61945247	+	59.2	NA	NA	NA	3569	transcript:Zm00001d046080_T001								
9-62	9	61989321	61989518	+	58.6	NA	NA	NA	17256	transcript:Zm00001d027106_T001								
9-61	9	61922476	61922673	+	58.6	NA	NA	NA	1373	transcript:Zm00001d046079_T001								
9-23	9	6529610	6529809	+	58.5	NA	NA	NA	3101	transcript:Zm00001d044885_T001								
6-44	6	119415778	119415977	+	58.1	NA	NA	NA	-37793	transcript:Zm00001d037285_T001								
6-44-2	6	119415778	119415977	+	58.1	NA	NA	NA	-37793	transcript:Zm00001d037285_T001								
9-68	9	90549125	90549322	+	58.0	NA	NA	NA	4707	transcript:Zm00001d046452_T001								
10-20	10	133765186	133765385	+	57.7	NA	intron (transcript:Zm00001d025919_T002, intron 9 of 9)	NA	1859	transcript:Zm00001d025919_T011								
8-50	8	174372220	174372417	+	56.8	NA	NA	NA	-3321	transcript:Zm00001d012432_T001								
4-28	4	157257497	157257696	+	56.8	NA	NA	NA	-43228	transcript:Zm00001d051404_T003								
4-64	4	160268715	160268912	+	55.7	NA	NA	NA	-19810	transcript:Zm00001d051485_T001								
2-119	2	11217487	11217684	+	55.7	NA	NA	NA	-38231	transcript:Zm00001d002370_T001								
