PeakID (cmd=annotatePeaks.pl /sonas-hs/ware/hpc_norepl/data/foli/maizeCode/RA1_q40_F6L2LP_common.bed zm_v4 -ann /sonas-hs/ware/hpc/home/foli/software/homer/data/genomes/zm_v4/zm_v4.basic.annotation)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-1-2	1	197009099	197009296	+	1327.7	NA	NA	NA	39004	transcript:Zm00001d031636_T001								
1-1	1	197009083	197009282	+	1102.6	NA	NA	NA	39019	transcript:Zm00001d031636_T001								
1-2-2	1	197008358	197008555	+	846.1	NA	NA	NA	39745	transcript:Zm00001d031636_T001								
1-3-2	1	18810	19007	+	836.1	NA	NA	NA	-25381	transcript:Zm00001d027230_T001								
1-4-2	1	22428	22625	+	803.9	NA	NA	NA	-21763	transcript:Zm00001d027230_T001								
1-5-2	1	16447	16644	+	802.1	NA	NA	NA	-27744	transcript:Zm00001d027230_T001								
1-2	1	197008346	197008545	+	786.3	NA	NA	NA	39756	transcript:Zm00001d031636_T001								
1-6-2	1	197012494	197012691	+	765.8	NA	NA	NA	35609	transcript:Zm00001d031636_T001								
1-3	1	16430	16629	+	764.2	NA	NA	NA	-27760	transcript:Zm00001d027230_T001								
1-4	1	18816	19015	+	761.7	NA	NA	NA	-25374	transcript:Zm00001d027230_T001								
1-7-2	1	197014081	197014278	+	755.8	NA	NA	NA	34022	transcript:Zm00001d031636_T001								
1-9-2	1	24429	24626	+	721.8	NA	NA	NA	-19762	transcript:Zm00001d027230_T001								
1-8-2	1	23881	24078	+	718.9	NA	NA	NA	-20310	transcript:Zm00001d027230_T001								
1-5	1	22425	22624	+	713.2	NA	NA	NA	-21765	transcript:Zm00001d027230_T001								
1-6	1	197014076	197014275	+	709.9	NA	NA	NA	34026	transcript:Zm00001d031636_T001								
1-8	1	197012492	197012691	+	695.3	NA	NA	NA	35610	transcript:Zm00001d031636_T001								
1-7	1	23880	24079	+	689.8	NA	NA	NA	-20310	transcript:Zm00001d027230_T001								
1-10-2	1	197010515	197010712	+	643.9	NA	NA	NA	37588	transcript:Zm00001d031636_T001								
1-11-2	1	18245	18442	+	627.5	NA	NA	NA	-25946	transcript:Zm00001d027230_T001								
1-13-2	1	16989	17186	+	615.8	NA	NA	NA	-27202	transcript:Zm00001d027230_T001								
1-10	1	197010524	197010723	+	606.3	NA	NA	NA	37578	transcript:Zm00001d031636_T001								
1-9	1	18244	18443	+	600.8	NA	NA	NA	-25946	transcript:Zm00001d027230_T001								
1-11	1	24431	24630	+	599.2	NA	NA	NA	-19759	transcript:Zm00001d027230_T001								
1-14-2	1	197012007	197012204	+	573.6	NA	NA	NA	36096	transcript:Zm00001d031636_T001								
1-16	1	197011160	197011357	+	532.6	NA	NA	NA	36943	transcript:Zm00001d031636_T001								
1-17-2	1	197013266	197013463	+	525.6	NA	NA	NA	34837	transcript:Zm00001d031636_T001								
1-13	1	17022	17221	+	524.8	NA	NA	NA	-27168	transcript:Zm00001d027230_T001								
1-14	1	197012013	197012212	+	508.9	NA	NA	NA	36089	transcript:Zm00001d031636_T001								
1-17	1	197013264	197013463	+	478.4	NA	NA	NA	34838	transcript:Zm00001d031636_T001								
1-18	1	197011153	197011352	+	460.4	NA	NA	NA	36949	transcript:Zm00001d031636_T001								
1-19-2	1	15847	16044	+	438.3	NA	NA	NA	-28344	transcript:Zm00001d027230_T001								
1-19	1	15853	16052	+	385.6	NA	NA	NA	-28337	transcript:Zm00001d027230_T001								
8-1-2	8	160908701	160908898	+	368.0	NA	NA	NA	22809	transcript:Zm00001d011758_T001								
8-1	8	160908704	160908903	+	351.4	NA	NA	NA	22813	transcript:Zm00001d011758_T001								
1-20	1	125700437	125700634	+	316.4	NA	NA	NA	20225	transcript:Zm00001d030359_T001								
1-21	1	125700433	125700632	+	309.2	NA	NA	NA	20222	transcript:Zm00001d030359_T001								
3-1-2	3	84266003	84266200	+	273.0	NA	NA	NA	-259576	transcript:Zm00001d000561_T001								
7-1-2	7	46258292	46258489	+	269.5	NA	NA	NA	-2442	transcript:Zm00001d019603_T001								
7-2-2	7	46253530	46253727	+	256.6	NA	NA	NA	2320	transcript:Zm00001d019603_T001								
3-1	3	84266010	84266209	+	243.2	NA	NA	NA	-259584	transcript:Zm00001d000561_T001								
6-7	6	14239951	14240148	+	239.6	NA	NA	NA	406001	transcript:Zm00001d001303_T001								
7-3-2	7	46264485	46264682	+	231.4	NA	TTS (transcript:Zm00001d001139_T001)	NA	1261	transcript:Zm00001d001139_T001								
7-5-2	7	46259101	46259298	+	219.7	NA	NA	NA	-2943	transcript:Zm00001d019604_T001								
7-4-2	7	155438038	155438235	+	217.4	NA	NA	NA	9092	transcript:Zm00001d021542_T001								
8-2	8	177444986	177445183	+	209.8	NA	NA	NA	11453	transcript:Zm00001d012628_T001								
7-1	7	155438023	155438222	+	208.9	NA	NA	NA	9106	transcript:Zm00001d021542_T001								
1-23-2	1	125703476	125703673	+	206.2	NA	NA	NA	23264	transcript:Zm00001d030359_T001								
7-7-2	7	46261813	46262010	+	203.3	NA	promoter-TSS (transcript:Zm00001d019604_T001)	NA	-231	transcript:Zm00001d019604_T001								
2-5-2	2	66780924	66781121	+	202.1	NA	TTS (transcript:Zm00001d003908_T001)	NA	320	transcript:Zm00001d003908_T001								
1-23	1	125703419	125703618	+	198.9	NA	NA	NA	23208	transcript:Zm00001d030359_T001								
7-2	7	46253531	46253730	+	198.9	NA	NA	NA	2318	transcript:Zm00001d019603_T001								
8-4-2	8	160910031	160910228	+	196.3	NA	NA	NA	24139	transcript:Zm00001d011758_T001								
6-10-2	6	14282297	14282494	+	193.9	NA	NA	NA	363655	transcript:Zm00001d001303_T001								
8-3	8	177444987	177445186	+	187.2	NA	NA	NA	11451	transcript:Zm00001d012628_T001								
7-3	7	46258289	46258488	+	186.8	NA	NA	NA	-2440	transcript:Zm00001d019603_T001								
6-11	6	14324640	14324837	+	186.3	NA	NA	NA	321312	transcript:Zm00001d001303_T001								
10-1	10	1982239	1982436	+	185.7	NA	NA	NA	-3468	transcript:Zm00001d023275_T001								
7-9-2	7	46254905	46255102	+	185.7	NA	TTS (transcript:Zm00001d019603_T001)	NA	945	transcript:Zm00001d019603_T001								
7-8	7	46257148	46257345	+	185.7	NA	NA	NA	-1298	transcript:Zm00001d019603_T001								
2-6-2	2	9670341	9670538	+	184.0	NA	promoter-TSS (transcript:Zm00001d002291_T001)	NA	-160	transcript:Zm00001d002291_T001								
7-4	7	155432212	155432411	+	180.5	NA	NA	NA	9650	transcript:Zm00001d001261_T001								
6-12-2	6	63517599	63517796	+	179.9	NA	"exon (transcript:Zm00001d035969_T001, exon 1 of 1)"	NA	342	transcript:Zm00001d035969_T001								
7-10-2	7	155428118	155428315	+	178.7	NA	NA	NA	5555	transcript:Zm00001d001261_T001								
8-4	8	160910039	160910238	+	177.6	NA	NA	NA	24148	transcript:Zm00001d011758_T001								
1-24-2	1	7257	7454	+	176.9	NA	NA	NA	-36934	transcript:Zm00001d027230_T001								
7-5	7	155440237	155440436	+	176.3	NA	NA	NA	6892	transcript:Zm00001d021542_T001								
9-1	9	77964174	77964371	+	175.2	NA	promoter-TSS (transcript:Zm00001d046281_T001)	NA	-762	transcript:Zm00001d046281_T001								
7-12-2	7	46255651	46255848	+	169.9	NA	TTS (transcript:Zm00001d019603_T001)	NA	199	transcript:Zm00001d019603_T001								
8-5	8	160927796	160927995	+	169.2	NA	NA	NA	-9147	transcript:Zm00001d011759_T001								
7-13	7	155440249	155440446	+	168.2	NA	NA	NA	6881	transcript:Zm00001d021542_T001								
5-1-2	5	146712889	146713086	+	167.6	NA	NA	NA	38658	transcript:Zm00001d016145_T001								
7-14-2	7	46265795	46265992	+	167.6	NA	NA	NA	2571	transcript:Zm00001d001139_T001								
7-7	7	155428133	155428332	+	167.5	NA	NA	NA	5571	transcript:Zm00001d001261_T001								
10-3	10	100533225	100533422	+	165.8	NA	TTS (transcript:Zm00001d025029_T001)	NA	348	transcript:Zm00001d025029_T001								
7-6	7	46264478	46264677	+	165.5	NA	TTS (transcript:Zm00001d001139_T001)	NA	1255	transcript:Zm00001d001139_T001								
2-7-2	2	66783751	66783948	+	164.6	NA	promoter-TSS (transcript:Zm00001d003910_T001)	NA	300	transcript:Zm00001d000838_T001								
2-8-2	2	66772673	66772870	+	164.1	NA	NA	NA	4793	transcript:Zm00001d003906_T001								
8-5-2	8	160927793	160927990	+	164.1	NA	NA	NA	-9151	transcript:Zm00001d011759_T001								
6-10	6	14239937	14240136	+	163.0	NA	NA	NA	406014	transcript:Zm00001d001303_T001								
4-1-2	4	37350748	37350945	+	162.3	NA	NA	NA	-74372	transcript:Zm00001d049607_T001								
5-2-2	5	215768871	215769068	+	162.3	NA	NA	NA	-1704	transcript:Zm00001d018163_T001								
1-24	1	7260	7459	+	160.4	NA	NA	NA	-36930	transcript:Zm00001d027230_T001								
10-4-2	10	100530834	100531031	+	160.0	NA	NA	NA	2739	transcript:Zm00001d025029_T001								
3-2-2	3	66377773	66377970	+	160.0	NA	"exon (transcript:Zm00001d040796_T002, exon 4 of 9)"	NA	1819	transcript:Zm00001d040796_T003								
5-4-2	5	215764521	215764718	+	158.2	NA	promoter-TSS (transcript:Zm00001d018162_T001)	NA	-382	transcript:Zm00001d018162_T001								
2-10-2	2	60104673	60104870	+	158.2	NA	"intron (transcript:Zm00001d003807_T008, intron 4 of 5)"	NA	2332	transcript:Zm00001d003807_T008								
5-5-2	5	215846500	215846697	+	157.0	NA	NA	NA	1093	transcript:Zm00001d018168_T001								
2-9-2	2	176909127	176909324	+	156.4	NA	NA	NA	-4134	transcript:Zm00001d005510_T001								
2-11-2	2	176906979	176907176	+	155.9	NA	NA	NA	-1986	transcript:Zm00001d005510_T001								
6-13-2	6	14390489	14390686	+	155.9	NA	NA	NA	255463	transcript:Zm00001d001303_T001								
1-25	1	1980	2179	+	155.4	NA	NA	NA	-42210	transcript:Zm00001d027230_T001								
1-25-2	1	132949764	132949961	+	155.3	NA	"exon (transcript:Zm00001d022805_T001, exon 1 of 1)"	NA	385	transcript:Zm00001d022805_T001								
8-6-2	8	62591399	62591596	+	154.7	NA	NA	NA	-9633	transcript:Zm00001d009399_T001								
2-12-2	2	110122118	110122315	+	154.7	NA	"intron (transcript:Zm00001d004407_T001, intron 4 of 7)"	NA	774	transcript:Zm00001d004407_T005								
1-26-2	1	8202347	8202544	+	154.7	NA	NA	NA	-1286	transcript:Zm00001d027559_T001								
7-9	7	46258852	46259051	+	152.5	NA	NA	NA	-3003	transcript:Zm00001d019603_T001								
8-8	8	177441305	177441502	+	151.8	NA	NA	NA	15134	transcript:Zm00001d012628_T001								
6-14	6	83729420	83729617	+	151.8	NA	"intron (transcript:Zm00001d036307_T001, intron 2 of 6)"	NA	659	transcript:Zm00001d036307_T003								
7-10	7	46261851	46262050	+	151.3	NA	promoter-TSS (transcript:Zm00001d019604_T001)	NA	-192	transcript:Zm00001d019604_T001								
7-15-2	7	155432236	155432433	+	151.2	NA	NA	NA	9673	transcript:Zm00001d001261_T001								
10-5-2	10	100531795	100531992	+	151.2	NA	NA	NA	1778	transcript:Zm00001d025029_T001								
5-7-2	5	215847379	215847576	+	151.2	NA	TTS (transcript:Zm00001d018168_T001)	NA	214	transcript:Zm00001d018168_T001								
8-7-2	8	160912589	160912786	+	151.2	NA	NA	NA	-24355	transcript:Zm00001d011759_T001								
3-3-2	3	23116566	23116763	+	151.2	NA	NA	NA	7533	transcript:Zm00001d040019_T001								
8-6	8	160930748	160930947	+	150.8	NA	NA	NA	-6195	transcript:Zm00001d011759_T001								
4-2-2	4	26177528	26177725	+	150.6	NA	TTS (transcript:Zm00001d049317_T001)	NA	75	transcript:Zm00001d049317_T001								
7-16-2	7	46262419	46262616	+	150.6	NA	TTS (transcript:Zm00001d019604_T001)	NA	375	transcript:Zm00001d019604_T001								
7-17	7	122699751	122699948	+	150.6	NA	NA	NA	38725	transcript:Zm00001d020571_T001								
2-5	2	66780964	66781163	+	150.0	NA	TTS (transcript:Zm00001d003908_T001)	NA	361	transcript:Zm00001d003908_T001								
1-28-2	1	281311674	281311871	+	149.4	NA	NA	NA	-24591	transcript:Zm00001d034020_T002								
1-30-2	1	193694845	193695042	+	148.2	NA	"intron (transcript:Zm00001d031539_T001, intron 1 of 7)"	NA	1074	transcript:Zm00001d031539_T003								
1-29-2	1	301100921	301101118	+	148.2	NA	TTS (transcript:Zm00001d034743_T001)	NA	769	transcript:Zm00001d034743_T001								
8-9-2	8	148532297	148532494	+	147.7	NA	NA	NA	-22935	transcript:Zm00001d011363_T002								
7-18-2	7	112902733	112902930	+	147.1	NA	"intron (transcript:Zm00001d020419_T002, intron 1 of 9)"	NA	400	transcript:Zm00001d020419_T007								
2-15-2	2	206607435	206607632	+	147.1	NA	"intron (transcript:Zm00001d006402_T002, intron 4 of 6)"	NA	-336	transcript:Zm00001d006403_T001								
2-14-2	2	206605025	206605222	+	147.1	NA	"intron (transcript:Zm00001d006402_T001, intron 5 of 5)"	NA	-2602	transcript:Zm00001d006401_T001								
2-13-2	2	152230345	152230542	+	146.5	NA	promoter-TSS (transcript:Zm00001d004985_T001)	NA	-881	transcript:Zm00001d004985_T001								
5-8	5	215848666	215848863	+	146.5	NA	TTS (transcript:Zm00001d018170_T001)	NA	306	transcript:Zm00001d018170_T001								
9-3-2	9	86337714	86337911	+	146.5	NA	NA	NA	-195278	transcript:Zm00001d046385_T001								
9-2-2	9	28945341	28945538	+	146.5	NA	NA	NA	-31537	transcript:Zm00001d045618_T001								
2-6	2	9670366	9670565	+	146.2	NA	promoter-TSS (transcript:Zm00001d002291_T001)	NA	-134	transcript:Zm00001d002291_T001								
2-16-2	2	176915975	176916172	+	145.3	NA	promoter-TSS (transcript:Zm00001d005512_T001)	NA	-218	transcript:Zm00001d005512_T001								
6-15-2	6	154723655	154723852	+	144.7	NA	NA	NA	-1801	transcript:Zm00001d038331_T001								
1-31-2	1	125698890	125699087	+	144.1	NA	NA	NA	18678	transcript:Zm00001d030359_T001								
8-7	8	160912593	160912792	+	143.7	NA	NA	NA	-24350	transcript:Zm00001d011759_T001								
4-3-2	4	198066165	198066362	+	143.5	NA	"intron (transcript:Zm00001d052700_T001, intron 6 of 7)"	NA	-6840	transcript:Zm00001d052700_T004								
