V3	V4
GRMZM2G395736	Zm00001d004709
GRMZM5G889321	Zm00001d009409
GRMZM2G059937	Zm00001d048362
GRMZM2G053939	Zm00001d022152
GRMZM2G017654	Zm00001d001978
GRMZM5G893913	Zm00001d019641
GRMZM2G377539	Zm00001d044186
GRMZM2G070633	Zm00001d016890
GRMZM2G357804	Zm00001d031938
GRMZM2G317835	NA
GRMZM2G061876	Zm00001d015929
GRMZM2G149905	Zm00001d001839
GRMZM2G163494	Zm00001d003287
GRMZM2G147279	Zm00001d050748
AC233914.1_FG001	Zm00001d026700
GRMZM2G397616	Zm00001d009668
GRMZM2G049185	Zm00001d049643
GRMZM2G029756	Zm00001d010463
GRMZM2G036340	Zm00001d039634
GRMZM2G103270	Zm00001d047806
GRMZM5G805685	Zm00001d023446
GRMZM2G011110	Zm00001d052152
GRMZM2G050734	Zm00001d017780
AC198923.4_FG002	Zm00001d011902
GRMZM2G093962	Zm00001d029667
GRMZM2G112598	Zm00001d040149
GRMZM5G821637	Zm00001d034865
GRMZM2G131262	Zm00001d022059
GRMZM2G472643	Zm00001d033316
AC217887.3_FG004	Zm00001d047245
GRMZM2G127031	Zm00001d022126
GRMZM2G179677	Zm00001d031992
GRMZM2G127035	Zm00001d022127
GRMZM2G022904	Zm00001d020418
GRMZM2G143723	Zm00001d039467
GRMZM2G181607	Zm00001d022518
GRMZM2G467756	Zm00001d018393
GRMZM2G087068	Zm00001d016845
GRMZM2G476523	Zm00001d014563
GRMZM2G031925	Zm00001d023478
GRMZM2G442791	Zm00001d018802
GRMZM2G152919	Zm00001d048008
GRMZM2G064590	Zm00001d032973
GRMZM2G105863	Zm00001d043406
GRMZM2G040441	Zm00001d029768
AC187891.3_FG006	Zm00001d023456
GRMZM2G034598	Zm00001d035598
GRMZM2G166445	NA
GRMZM2G093895	Zm00001d023565
GRMZM2G369815	Zm00001d034818
GRMZM2G427618	Zm00001d038695
GRMZM2G441906	Zm00001d008843
GRMZM2G020091	Zm00001d035501
GRMZM2G013960	Zm00001d031079
GRMZM2G080603	Zm00001d031168
GRMZM2G079316	Zm00001d052162
GRMZM2G175543	Zm00001d036536
GRMZM2G139324	Zm00001d030834
GRMZM2G444748	Zm00001d015153
GRMZM5G893343	Zm00001d022531
GRMZM2G316534	Zm00001d012302
GRMZM2G162305	Zm00001d043399
GRMZM2G373928	Zm00001d008939
GRMZM2G110195	Zm00001d042619
GRMZM5G817934	Zm00001d034159
GRMZM2G128986	Zm00001d013553
GRMZM2G089995	Zm00001d049364
GRMZM5G836977	Zm00001d031053
GRMZM2G364612	Zm00001d011076
GRMZM2G006676	Zm00001d027988
GRMZM2G002147	Zm00001d011928
GRMZM2G170338	Zm00001d013532
GRMZM2G444743	5:77126150-77127588
GRMZM2G094589	Zm00001d005039
GRMZM2G016605	Zm00001d010308
GRMZM2G097900	Zm00001d008573
GRMZM2G165461	Zm00001d048795
GRMZM2G090010	Zm00001d049365
GRMZM2G317450	Zm00001d017908
GRMZM2G022642	Zm00001d044430
GRMZM2G022642	Zm00001d044431
GRMZM2G138067	Zm00001d000310
GRMZM2G071907	Zm00001d002405
GRMZM2G444819	Zm00001d011751
AC177946.2_FG004	1:19437487-19437963
GRMZM2G054032	Zm00001d022151
GRMZM2G083526	Zm00001d015477
GRMZM2G046729	Zm00001d048053
GRMZM2G109130	Zm00001d033623
GRMZM2G013002	Zm00001d047087
GRMZM2G122277	Zm00001d049510
GRMZM2G160585	Zm00001d002064
